               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.040505,           0.0099502,                   0,              0.9068,             0.86588,             0.92026,             0.42703,            0.039697,           0.0066137,                   0,           0.0007733,           0.0007733,            0.017273
                  38,            0.040662,           0.0094908,                   0,             0.90483,              0.8439,              0.9173,             0.51927,            0.038412,           0.0062777,                   0,          0.00079031,          0.00079031,             0.01509
                  39,            0.042088,           0.0096774,                   0,             0.87268,             0.87968,             0.92463,             0.49174,            0.036239,           0.0066382,                   0,          0.00080707,          0.00080707,            0.012907
                  40,            0.040098,           0.0094242,                   0,             0.87387,             0.87574,              0.9196,             0.49004,            0.035721,           0.0064655,                   0,          0.00082357,          0.00082357,            0.010724
                  41,            0.039417,           0.0095151,                   0,             0.88114,             0.84813,             0.90955,             0.45519,            0.035494,           0.0065058,                   0,           0.0008398,           0.0008398,           0.0085398
                  42,            0.039449,           0.0092917,                   0,             0.89417,             0.84994,             0.92685,             0.48867,            0.036966,           0.0062675,                   0,          0.00085576,          0.00085576,           0.0063558
                  43,            0.037493,           0.0098611,                   0,             0.87735,             0.84813,             0.90554,             0.49911,            0.034004,           0.0064401,                   0,          0.00087145,          0.00087145,           0.0041715
                  44,            0.037093,           0.0092913,                   0,             0.86142,             0.90729,             0.93254,             0.48448,            0.035689,           0.0064806,                   0,          0.00088687,          0.00088687,           0.0019869
                  45,            0.037923,           0.0092271,                   0,             0.89918,             0.89717,             0.94763,             0.50199,             0.03457,            0.006304,                   0,          0.00089218,          0.00089218,          0.00089218
                  46,            0.039458,           0.0094702,                   0,             0.91675,             0.86982,             0.93598,             0.49845,            0.034702,            0.006234,                   0,          0.00089218,          0.00089218,          0.00089218
                  47,             0.03746,           0.0090397,                   0,             0.91879,             0.87179,             0.93947,             0.49259,            0.034605,            0.006347,                   0,          0.00088755,          0.00088755,          0.00088755
                  48,            0.037999,           0.0093489,                   0,              0.8699,             0.88362,             0.92211,             0.47579,            0.034974,           0.0064608,                   0,          0.00088283,          0.00088283,          0.00088283
                  49,            0.037604,           0.0091883,                   0,             0.91539,             0.85602,             0.91766,             0.48305,            0.034469,           0.0061865,                   0,          0.00087804,          0.00087804,          0.00087804
                  50,            0.036282,           0.0090646,                   0,             0.88689,             0.91519,              0.9395,             0.54499,            0.030195,           0.0065293,                   0,          0.00087316,          0.00087316,          0.00087316
                  51,             0.03562,            0.009423,                   0,             0.91857,             0.89546,             0.94356,             0.52311,            0.035735,            0.006216,                   0,           0.0008682,           0.0008682,           0.0008682
                  52,            0.036845,           0.0087092,                   0,             0.88753,             0.91913,             0.94261,             0.51933,            0.033451,           0.0059607,                   0,          0.00086316,          0.00086316,          0.00086316
                  53,            0.036276,           0.0088627,                   0,             0.88843,             0.92702,             0.94375,              0.5357,            0.032554,           0.0061264,                   0,          0.00085805,          0.00085805,          0.00085805
                  54,            0.036845,           0.0087449,                   0,             0.92722,             0.87945,             0.94823,             0.52093,            0.034326,           0.0060952,                   0,          0.00085286,          0.00085286,          0.00085286
                  55,            0.036176,           0.0088491,                   0,             0.89738,             0.91519,             0.94367,             0.54182,            0.032147,           0.0060536,                   0,          0.00084759,          0.00084759,          0.00084759
                  56,             0.03596,           0.0086181,                   0,             0.89047,             0.88363,             0.91114,              0.4708,            0.035974,           0.0063973,                   0,          0.00084225,          0.00084225,          0.00084225
                  57,            0.035183,           0.0087075,                   0,             0.84893,              0.9428,             0.94362,             0.54474,            0.030946,           0.0060077,                   0,          0.00083684,          0.00083684,          0.00083684
                  58,            0.034668,           0.0086846,                   0,             0.90157,             0.90335,             0.94272,             0.53409,            0.033049,           0.0061929,                   0,          0.00083136,          0.00083136,          0.00083136
                  59,            0.034274,           0.0088972,                   0,             0.91036,             0.88141,             0.93498,             0.51691,            0.031327,           0.0061137,                   0,          0.00082581,          0.00082581,          0.00082581
                  60,            0.034751,           0.0084382,                   0,             0.88821,             0.87756,             0.93147,             0.54689,            0.029412,           0.0059776,                   0,          0.00082019,          0.00082019,          0.00082019
                  61,             0.03464,           0.0087446,                   0,             0.90114,             0.91691,             0.94254,             0.50633,            0.034908,            0.005988,                   0,           0.0008145,           0.0008145,           0.0008145
                  62,             0.03459,           0.0088184,                   0,             0.90643,             0.91709,             0.93949,             0.50329,            0.034975,           0.0061665,                   0,          0.00080875,          0.00080875,          0.00080875
                  63,            0.036392,           0.0086239,                   0,             0.90428,             0.91301,             0.94412,             0.55222,            0.030791,           0.0058975,                   0,          0.00080294,          0.00080294,          0.00080294
                  64,            0.033353,           0.0082723,                   0,             0.91174,             0.93731,             0.94737,             0.55308,            0.030847,            0.005899,                   0,          0.00079706,          0.00079706,          0.00079706
                  65,            0.034287,           0.0083452,                   0,             0.89688,             0.90924,             0.94499,             0.55441,            0.030646,            0.006001,                   0,          0.00079112,          0.00079112,          0.00079112
                  66,            0.033157,           0.0079918,                   0,              0.8892,             0.91913,             0.94229,             0.53292,            0.029798,           0.0058223,                   0,          0.00078512,          0.00078512,          0.00078512
                  67,            0.033277,           0.0083109,                   0,             0.87644,             0.92505,             0.94849,             0.55308,            0.029641,           0.0057901,                   0,          0.00077907,          0.00077907,          0.00077907
